condition_description,condition_count
Medication review due (situation),84769
Stress (finding),33495
Gingivitis (disorder),31621
Full-time employment (finding),30820
Part-time employment (finding),19233
Limited social contact (finding),11990
Social isolation (finding),11932
Viral sinusitis (disorder),11859
Not in labor force (finding),10659
Gingival disease (disorder),9485
Victim of intimate partner abuse (finding),7756
Primary dental caries (disorder),7094
Acute viral pharyngitis (disorder),6805
Reports of violence in the environment (finding),6355
Acute bronchitis (disorder),5641
