medication_description,medication_count
1 ML Epoetin Alfa 4000 UNT/ML Injection [Epogen],9506
lisinopril 10 MG Oral Tablet,4191
insulin isophane  human 70 UNT/ML / insulin  regular  human 30 UNT/ML Injectable Suspension [Humulin],3961
Hydrochlorothiazide 25 MG Oral Tablet,3746
sodium fluoride 0.0272 MG/MG Oral Gel,3008
amLODIPine 2.5 MG Oral Tablet,2753
24 HR Metformin hydrochloride 500 MG Extended Release Oral Tablet,1808
PACLitaxel 100 MG Injection,1264
Cisplatin 50 MG Injection,1264
Simvastatin 10 MG Oral Tablet,1072
tropicamide 5 MG/ML Ophthalmic Solution,948
Alendronic acid 10 MG Oral Tablet,734
10 ML Furosemide 10 MG/ML Injection,678
Acetaminophen 325 MG Oral Tablet [Tylenol],650
Ibuprofen 400 MG Oral Tablet [Ibu],647
