procedure_description,procedure_count
Depression screening (procedure),2646
Assessment of health and social care needs (procedure),1631
Renal dialysis (procedure),1305
Medication reconciliation (procedure),1283
Assessment of substance use (procedure),1135
Dental consultation and report (procedure),1120
Patient referral for dental care (procedure),1094
Oral health education (procedure),1087
Removal of subgingival plaque and calculus from all teeth using dental instrument (procedure),1081
Removal of supragingival plaque and calculus from all teeth using dental instrument (procedure),1081
Dental care (regime/therapy),1081
Examination of gingivae (procedure),1081
Assessment of anxiety (procedure),904
Nursing care/supplementary surveillance (regime/therapy),630
Auscultation of the fetal heart (procedure),615
