age,mortality_rate
0,0.0
1,0.0
2,0.0
3,0.0
4,0.95
5,1.11
6,0.94
7,2.02
8,0.0
9,0.0
10,1.83
11,0.0
12,0.0
13,0.78
14,0.81
15,0.95
16,0.0
17,0.77
18,2.27
19,0.0
20,2.22
21,0.74
22,1.2
23,1.32
24,1.23
25,4.88
26,2.76
27,2.0
28,2.14
29,1.18
30,0.66
31,3.05
32,3.62
33,4.84
34,5.52
35,5.74
36,4.2
37,7.2
38,2.22
39,1.59
40,2.86
41,3.6
42,4.0
43,6.06
44,3.17
45,2.5
46,9.16
47,5.11
48,6.29
49,4.43
50,6.52
51,6.25
52,8.75
53,8.24
54,8.63
55,10.53
56,7.47
57,14.57
58,14.19
59,15.72
60,14.19
61,16.26
62,18.25
63,18.82
64,19.68
65,18.42
66,15.97
67,17.65
68,23.91
69,17.54
70,29.46
71,31.82
72,28.18
73,20.65
74,23.93
75,26.67
76,25.0
77,41.18
78,39.74
79,15.09
80,41.89
81,50.77
82,39.71
83,48.08
84,55.29
85,32.43
86,57.69
87,47.37
88,73.33
89,52.38
90,60.71
91,63.89
92,41.67
93,71.43
94,42.86
95,75.86
96,79.17
97,61.54
98,78.95
99,60.71
100,75.44
101,75.0
102,61.9
103,85.71
104,74.47
105,72.97
106,79.55
107,75.76
108,63.16
109,66.67
110,76.0
111,63.64
